id,name,description,dict_field_sets_first,dict_field_sets_second,alias
24,athenanet username,,Latest_ReferrerInfo__c,athenanet username,forms-eloqua-tasking-dictionaries/athenanet-username
25,Percent reduction in no-show rate min,,percentreductioninno-showratemin,Percent reduction in no-show rate min,forms-eloqua-tasking-dictionaries/percent-reduction-no-show-rate-min
26,Rev Calc Question 4,,Latest_RevCalc_Q4__c,Rev Calc Question 4,forms-eloqua-tasking-dictionaries/rev-calc-question-4
27,Number of Providers,,numberOfDocs1,Number of Providers,forms-eloqua-tasking-dictionaries/number-providers
28,Business Type and Specialty,,Latest_BusinessType__c,Business Type & Specialty,forms-eloqua-tasking-dictionaries/business-type-and-specialty
29,Latest Web Form,,Latest_WebForm__c,Web Form,forms-eloqua-tasking-dictionaries/latest-web-form
30,Do you run population health campaignsNO,,doyourunpopulationhealthcampaignsno,Do you run population health campaigns? NO,forms-eloqua-tasking-dictionaries/do-you-run-population-health-campaignsno
31,Phone Number,,Phone,Phone (XXX) XXX-XXXX,forms-eloqua-tasking-dictionaries/phone-number
32,Product,,Latest_Product__c,Product,forms-eloqua-tasking-dictionaries/product
33,Latest Email,,Latest_EmailAddress__c,Email,forms-eloqua-tasking-dictionaries/latest-email
34,Sitecore Content Path,,Content_Path,Sitecore item path,forms-eloqua-tasking-dictionaries/sitecore-content-path
35,Rev Calc interation Date,,Latest_RevCalc_InteractionDate__c,Rev Calc interation Date,forms-eloqua-tasking-dictionaries/rev-calc-interation-date
36,Eloqua Task - Description,,ImportNurture_Task_Description,Eloqua Task - Description,forms-eloqua-tasking-dictionaries/eloqua-task-description
37,URL of page,,Friendly_URL,URL of page,forms-eloqua-tasking-dictionaries/url-page
38,Percent reduction in no-show rate max,,percentreductioninno-showratemax,Percent reduction in no-show rate max,forms-eloqua-tasking-dictionaries/percent-reduction-no-show-rate-max
39,Request,,Latest_Request__c,Request,forms-eloqua-tasking-dictionaries/request
40,Information about athenahealth services,,Stream_Opt_In__c,Information about athenahealth services,forms-eloqua-tasking-dictionaries/information-about-athenahealth-services
41,Eloqua Task - Priority,,Latest_TaskPriority,Eloqua Task - Priority,forms-eloqua-tasking-dictionaries/eloqua-task-priority
42,Latest Omniture Visitor ID,,Latest_VisitorID__c,BMTN/Omniture ID,forms-eloqua-tasking-dictionaries/latest-omniture-visitor-id
43,Percent increase in annual collection min,,percentincreaseinannualcollectionmin,Percent increase in annual collection min,forms-eloqua-tasking-dictionaries/percent-increase-annual-collection-min
44,Comments,,Comments,Comments,forms-eloqua-tasking-dictionaries/comments
45,Do you run population health campaignsYES,,doyourunpopulationhealthcampaignsyes,Do you run population health campaigns? YES,forms-eloqua-tasking-dictionaries/do-you-run-population-health-campaignsyes
46,First Name,,FirstName,First Name,forms-eloqua-tasking-dictionaries/first-name
47,Newsletter Opt-In,,Newsletter_Opt_In__c,Newsletter Opt-In,forms-eloqua-tasking-dictionaries/newsletter-opt
48,Latest City,,Latest_City,City,forms-eloqua-tasking-dictionaries/latest-city
49,Meta Data - Page Type or Form Category,,formCategory1,Meta Data - Page Type / Form Category,forms-eloqua-tasking-dictionaries/meta-data-page-type-or-form-category
50,Latest State,,Latest_State__c,State,forms-eloqua-tasking-dictionaries/latest-state
51,Rev Calc Question 3,,Latest_RevCalc_Q3__c,Rev Calc Question 3,forms-eloqua-tasking-dictionaries/rev-calc-question-3
52,Latest Num of physicians in your organization,,Latest_NumberOfDocs__c,# of physicians in your organization,forms-eloqua-tasking-dictionaries/latest-num-physicians-your-organization
53,Eloqua Task - Qualified for Nurture,,Latest_QualifiedForNurture,Eloqua Task - Qualified for Nurture,forms-eloqua-tasking-dictionaries/eloqua-task-qualified-nurture
54,Latest First Name,,Latest_FirstName__c,First Name,forms-eloqua-tasking-dictionaries/latest-first-name
55,Latest Organization Name,,Latest_CompanyName__c,Organization Name,forms-eloqua-tasking-dictionaries/latest-organization-name
56,Meeting Date,,Latest_MeetingDate1__c,Meeting Date,forms-eloqua-tasking-dictionaries/meeting-date
57,Global Opt Out,,globalOptOut,Global Opt Out,forms-eloqua-tasking-dictionaries/global-opt-out
58,Latest Phone,,Latest_Phone__c,Phone (XXX) XXX-XXXX,forms-eloqua-tasking-dictionaries/latest-phone
59,Are you succeeding with PQRSYES,,areyousucceedingwithpqrsno,Are you succeeding with PQRS? YES,forms-eloqua-tasking-dictionaries/are-you-succeeding-pqrsyes
60,Eloqua Task - Subject,,ImportNurture_Task_Subject,Eloqua Task - Subject,forms-eloqua-tasking-dictionaries/eloqua-task-subject
61,Coordinator Incentive Opt-In,,coordinatorCoreIncentiveOptIn1,Coordinator Incentive Opt-In,forms-eloqua-tasking-dictionaries/coordinator-incentive-opt
62,BMTN ID,,BMTN__c,BMTN/Omniture ID,forms-eloqua-tasking-dictionaries/bmtn-id
63,Rev Calc Question 1,,Latest_RevCalc_Q1__c,Rev Calc Question 1,forms-eloqua-tasking-dictionaries/rev-calc-question-1
64,Percent increase in annual collections max,,Percentincreaseinannualcollectionsmax,Percent increase in annual collections max,forms-eloqua-tasking-dictionaries/percent-increase-annual-collections-max
65,Email Newsletter Opt-In,,Latest_EmailSubmitFlag__c,I would like to receive athenahealth news,forms-eloqua-tasking-dictionaries/email-newsletter-opt
66,Last Name,,LastName,Last Name,forms-eloqua-tasking-dictionaries/last-name
67,Final annual revenue increase result,,finalannualrevenueincreaseresult,Final annual revenue increase result,forms-eloqua-tasking-dictionaries/final-annual-revenue-increase-result
68,SalesForce Campaign Status,,Latest_SFDC_CampaignStatus__c,SalesForce Campaign Status,forms-eloqua-tasking-dictionaries/salesforce-campaign-status
69,Average monthly collections max,,averagemonthlycollectionsmax,Average monthly collections max,forms-eloqua-tasking-dictionaries/average-monthly-collections-max
70,Have you attested for Meaningful UseNO,,haveyouattestedformeaningfuluseno,Have you attested for Meaningful Use? NO,forms-eloqua-tasking-dictionaries/have-you-attested-meaningful-useno
71,Tax ID,,Tax_ID_Number__c,Tax ID,forms-eloqua-tasking-dictionaries/tax-id
72,Events and Webinars Opt-In,,Invite_Opt_In__c,Events and Webinars Opt-In,forms-eloqua-tasking-dictionaries/events-and-webinars-opt
73,Latest BMTN ID,,Latest_BMTN__c,BMTN/Omniture ID,forms-eloqua-tasking-dictionaries/latest-bmtn-id
74,Specialty,,Latest_Specialty,Specialty,forms-eloqua-tasking-dictionaries/specialty-0
75,State,,State,State,forms-eloqua-tasking-dictionaries/state
76,Timeframe,,Latest_Timeframe__c,Timeframe,forms-eloqua-tasking-dictionaries/timeframe
77,Email Address,,emailAddress,Email Address,forms-eloqua-tasking-dictionaries/email-address
78,Have you attested for Meaningful UseYES,,haveyouattestedformeaningfuluseyes,Have you attested for Meaningful Use? YES,forms-eloqua-tasking-dictionaries/have-you-attested-meaningful-useyes
79,PPC Keyword,,PPC_Keyword__c,PPC Keyword,forms-eloqua-tasking-dictionaries/ppc-keyword
80,Where lead came from,,LeadSource,Where lead came from,forms-eloqua-tasking-dictionaries/where-lead-came
81,Latest Zip Code,,PostalCode,Zip Code,forms-eloqua-tasking-dictionaries/latest-zip-code
82,Latest Source,,Latest_SourceOther__c,How did you hear about athenahealth - Please specify (optional),forms-eloqua-tasking-dictionaries/latest-source
83,Num of physicians in your organization,,of_Docs__c,# of physicians in your organization,forms-eloqua-tasking-dictionaries/num-physicians-your-organization
84,Vanity URL,,Vanity_URL,Vanity URL,forms-eloqua-tasking-dictionaries/vanity-url
85,Average monthly collections min,,averagemonthlycollectionsmin,Average monthly collections min,forms-eloqua-tasking-dictionaries/average-monthly-collections-min
86,Fax Number,,Fax,Fax Number,forms-eloqua-tasking-dictionaries/fax-number
87,Meeting Time,,Latest_MeetingTime1__c,Meeting Time,forms-eloqua-tasking-dictionaries/meeting-time
88,Latest Last Name,,Latest_LastName__c,Last Name,forms-eloqua-tasking-dictionaries/latest-last-name
89,Email,,Email,Email,forms-eloqua-tasking-dictionaries/email
90,Email Address,,emailAddress,Email Address,forms-eloqua-tasking-dictionaries/email-address-0
91,Do you bill for CCMNO,,doyoubillforccmyes,Do you bill for CCM? NO,forms-eloqua-tasking-dictionaries/do-you-bill-ccmno
